codigo,tipo,finalidade,bairro,cidade,dormitorios,suites,vagas,area_util,area_total,preco,condominio,iptu,descricao,caracteristicas,endereco_aproximado,fotos,video,status,corretor_responsavel,data_cadastro,url
3584637,Terreno,Venda,CENTRO,Veranópolis,0,0,0,0,1600,8000000,,,"Terreno Urbano para Venda, Veranópolis / RS, bairro CENTRO, área total 1.600,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/20250508111545889.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3584637/terreno-urbano-venda-veranopolis-rs-centro
2431202,Sala Comercial,Venda,CENTRO,,0,0,0,219,0,2550000,,,"Sala Comercial para Venda, bairro CENTRO, área útil 219,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/20230912094655956.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/2431202/sala-comercial-venda-centro-edificio-reinaldo-vuelma
2694492,,,,,0,0,0,0,0,2096000,,,"Casa de 3 dormitórios, 1 suíte, 4 vagas e 3 salas no Condomínio Clube Residencial Paraíso, Vila Flores. Mobiliada, com aquecimento solar e móveis planejados!",,,https://www.vaneiscussel.com/imagens/imoveis/2023121722515850.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/2694492/casa-venda-vila-flores-rs-linha-aimore-condomino-clube-residencial-paraiso
3492989,Sala Comercial,Venda,CENTRO,Veranópolis,0,0,0,0,0,1790000,,,"Sala Comercial para Venda, Veranópolis / RS, bairro CENTRO",,,https://www.vaneiscussel.com/imagens/imoveis/202503181543104560.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3492989/sala-comercial-venda-veranopolis-rs-centro
1538056,Apartamento,Venda,CENTRO,Veranópolis,4,4,4,384,427,1690000,,,"Apartamento 4 Quartos para Venda, Veranópolis / RS, bairro CENTRO, 4 dormitórios, sendo 4 suítes, 5 banheiros, 4 vagas de garagem, área total 427,00 m², área útil 384,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/20250814095929913.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/1538056/apartamento-4-quartos-venda-veranopolis-rs-centro-theone-residence
3902366,Casa,Venda,Femaçã,Veranópolis,3,1,2,208,378,1592000,,,"Casa para Venda, Veranópolis / RS, bairro Femaçã, 3 dormitórios, sendo 1 suíte, 3 banheiros, 2 vagas de garagem, área total 378,00 m², área útil 208,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202511170956438137.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/3902366/casa-venda-veranopolis-rs-femaca-residencial-morada-do-bosque
1948092,Apartamento,Venda,CENTRO,,3,3,3,245,0,1380000,,,"Apartamento 3 Quartos para Venda, bairro CENTRO, 3 dormitórios, sendo 3 suítes, 4 banheiros, 3 vagas de garagem, área útil 245,00 m²",,,https://www.vaneiscussel.com/imagens/imoveis/20221028011145784.JPG,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/1948092/apartamento-3-quartos-venda-centro-atrium-residence
2075132,Apartamento,Venda,CENTRO,Veranópolis,3,3,3,146.01,0,1270000,,,"Apartamento 3 Quartos para Venda, Veranópolis / RS, bairro CENTRO, 3 dormitórios, sendo 3 suítes, 4 banheiros, 3 vagas de garagem, área útil 146,01 m²",,,https://www.vaneiscussel.com/imagens/imoveis/20230307115009309.JPG,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/2075132/apartamento-3-quartos-venda-veranopolis-rs-centro
2478198,Apartamento,Venda,CENTRO,Veranópolis,3,1,2,175.29,0,1230000,,,"Apartamento 3 Quartos para Venda, Veranópolis / RS, bairro CENTRO, 3 dormitórios, sendo 1 suíte, 3 banheiros, 2 vagas de garagem, área útil 175,29 m²",,,https://www.vaneiscussel.com/imagens/imoveis/20230821091547680.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/2478198/apartamento-3-quartos-venda-veranopolis-rs-centro-edificio-reinaldo
4041468,Apartamento,Venda,CENTRO,Veranópolis,3,1,2,238.63,0,1196000,,,"Apartamento 3 Quartos para Venda, Veranópolis / RS, bairro CENTRO, 3 dormitórios, sendo 1 suíte, 3 banheiros, 2 vagas de garagem, mobiliado, área útil 238,63 m²",,,https://www.vaneiscussel.com/imagens/imoveis/202602261102293427.jpg,,Ativo,Vanei,2026-05-06,https://www.vaneiscussel.com/imovel/4041468/apartamento-3-quartos-venda-veranopolis-rs-centro-edificio-contemporaneo
